CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	344678	341426	320126	355874	350234	200821	182458	178658	238387	178168	133591	133036	134293	132187	119020	122833	101133	80900
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2597	19757	19757	14853	33467	6501	19670	19648	29706	7349	3606	1496	1559	13450	10482	14588	21418	15063
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	63	63	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	313652	290432	269132	307511	283355	154753	126287	121657	178967	136430	94905	101421	101752	76990	68294	74510	68006	51979
Hàng tồn kho###Inventory	21161	24245	24245	26030	25772	31971	28606	28627	22369	26826	26563	22763	22795	33597	32504	26127	6079	8334
Tài sản ngắn hạn khác###Other Current Assets	7267	6992	6992	7479	7639	7596	7895	8726	7345	7563	8454	7293	8187	8151	7740	7609	5630	5524
Tài sản dài hạn###Non-current Assets	251907	247309	268609	257924	259259	209262	207695	212697	202519	222645	233050	236650	236874	232127	231514	234196	172543	183901
Các khoản phải thu dài hạn###Long term Account Receivable	29625	31625	52925	45847	45847	23178	23178	28178	26920	56528	65040	68640	68340	68340	68340	75510	29994	29544
Tài sản cố định ###Fixed assets	39775	40632	40632	41504	42339	42576	42767	42767	43647	44407	45210	44838	45977	39343	40063	41361	19778	24729
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-15454	-14599	-14599	-13731	-12863	-12012	-11175	-11175	-10295	-9487	-8683	-7879	-8166	-7653	-6942	-5520	-4469	-3482
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-13	-10	-10	-6	-3	-1	0	0	0	0	0	0	-331	-361	-352	-152	-136	-121
Lợi thế thương mại	35888	36885	36885	37881	38878	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	5191	5227	5227	5263	5299	5334	5370	5370	5406	5442	5478	5514	4192	4210	4227	4261	4330	4399
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	16537	16520	16522	16372	0	0	0	0	0	0	0	653	653
Tài sản dài hạn khác###Other long term assets	36607	37691	37691	38654	39773	1073	1316	1316	1479	1526	1719	1868	1882	1954	2038	1969	1450	2786
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	596585	588735	588735	613798	609492	410083	390153	391355	440907	400813	366642	369686	371167	364315	350533	357029	273676	264801
Nợ phải trả ###Liabilities	219124	215641	215641	246510	220087	204830	191442	192625	262855	229866	198067	203573	205029	205346	196604	199717	249423	242034
Nợ ngắn hạn###Short term Liabilities	164823	161287	161287	191988	163776	158610	144867	146050	212711	159592	128258	134144	134854	136944	128854	50843	56149	29771
Nợ dài hạn###Long term Liabilities	54301	54354	54354	54522	56311	46220	46575	46575	50144	70274	69810	69429	70175	68402	67750	148874	193274	212263
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	377460	373094	373094	367288	389405	205253	198711	198729	178052	170947	168575	166113	166138	158968	153929	157312	24253	22766
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	377460	373094	373094	367288	389405	205253	198711	198729	178052	170947	168575	166113	166138	158968	153929	157312	24253	22766
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	91802	548359	151789	158270	149034	88774	469406	227301	138348	72206	31551	244739	82721	78659	59633	163722	87365	14659
Các khoản giảm trừ doanh thu###Deduction revenues	0	887	0	529	358	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	91802	547472	151789	157741	148676	88774	469406	227301	138348	72206	31551	244739	82721	78659	59633	163722	87365	14659
Giá vốn hàng bán###Cost of goods sold	81493	490133	138353	140915	132888	77492	406572	197149	121658	62975	25577	203468	71024	68965	47993	144106	84081	13605
Lợi nhuận gộp###Gross profit	10309	57340	13436	16826	15788	11282	62833	30152	16690	9231	5974	41270	11696	9694	11640	19616	3285	1054
Doanh thu hoạt động tài chính###Financial activities Revenues	565	2109	754	511	725	119	2776	385	593	1299	498	175	34	23	142	5300	1535	205
Chi phí tài chính###Financial Expenses	1187	4233	1220	1220	1146	646	6168	650	3831	977	710	2546	624	559	1389	596	307	0
Chi phí bán hàng###Selling Expenses	182	740	237	122	169	211	732	217	216	112	176	636	100	98	56	3	9	295
Chi phí quản lý doanh nghiệp###Managing Expenses	3392	14191	4355	3525	3981	2330	11086	3987	2389	2593	2166	9150	2510	2383	3113	5026	2894	1476
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6113	40302	8377	12469	11217	8230	47772	25834	10847	6849	3420	29113	8496	6678	7225	19291	1610	-512
Thu nhập khác###Other incomes	0	3	2	0	0	0	0	0	0	0	0	840	299	0	1	0	34	0
Chi phí khác###Other Expenses	318	671	410	19	104	0	372	17	9	4	343	2016	0	378	433	34	4	0
Lợi nhuận khác###Other profits	-318	-669	-408	-19	-104	0	-371	-17	-9	-3	-343	-1176	298	-378	-432	-34	31	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5795	39633	7969	12451	11114	8230	47400	25817	10838	6845	3077	27936	8794	6299	6793	19257	1641	-512
Chi phí thuế TNDN###Corporate Income Tax Expenses	1429	8829	2031	2693	2461	1643	10635	5135	2777	1369	615	5682	1622	1260	1493	3905	154	3
Chi phí thuế TNDN###Corporate Income Tax Expenses	1429	8829	2031	2693	2461	1643	10635	5135	2777	1369	615	5682	1622	1260	1493	3905	154	3
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4951	32391	6206	10214	9212	6899	39382	21748	8475	5476	2763	25480	7972	5618	6402	16405	1600	-605
---Cac Chi So Tai Chinh---																		
EBITDA	0.47	-0.02	-0.02	0.43	0.98	0.94	1.12	1.12	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.80	8.80	8.80	9.00	9.00	9.00	9.18	9.18	11.43	13.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
