years,tickers,sales
2010,ABS,575
2010,CEO,627
2010,DXG,507
2010,HDC,488
2010,IDI,349
2010,IDV,792
2010,ITA,773
2010,KBC,681
2010,KDH,719
2010,LHG,670
2010,NDN,340
2010,NLG,596
2010,NVL,274
2010,PDR,377
2010,REE,424
2010,SDI,655
2010,SGR,698
2010,SZL,694
2010,VHM,804
2010,VIC,661
2011,ABS,553
2011,CEO,794
2011,DXG,380
2011,HDC,622
2011,IDI,465
2011,IDV,393
2011,ITA,597
2011,KBC,676
2011,KDH,351
2011,LHG,275
2011,NDN,568
2011,NLG,957
2011,NVL,764
2011,PDR,780
2011,REE,841
2011,SDI,408
2011,SGR,451
2011,SZL,659
2011,VHM,887
2011,VIC,904
2012,ABS,936
2012,CEO,877
2012,DXG,344
2012,HDC,325
2012,IDI,533
2012,IDV,585
2012,ITA,849
2012,KBC,747
2012,KDH,850
2012,LHG,566
2012,NDN,909
2012,NLG,240
2012,NVL,413
2012,PDR,584
2012,REE,621
2012,SDI,466
2012,SGR,418
2012,SZL,748
2012,VHM,686
2012,VIC,323
2013,ABS,977
2013,CEO,721
2013,DXG,434
2013,HDC,529
2013,IDI,480
2013,IDV,526
2013,ITA,519
2013,KBC,899
2013,KDH,350
2013,LHG,244
2013,NDN,648
2013,NLG,890
2013,NVL,727
2013,PDR,807
2013,REE,438
2013,SDI,650
2013,SGR,518
2013,SZL,976
2013,VHM,616
2013,VIC,467
2014,ABS,563
2014,CEO,702
2014,DXG,474
2014,HDC,200
2014,IDI,852
2014,IDV,836
2014,ITA,364
2014,KBC,460
2014,KDH,365
2014,LHG,615
2014,NDN,686
2014,NLG,656
2014,NVL,235
2014,PDR,202
2014,REE,300
2014,SDI,220
2014,SGR,513
2014,SZL,874
2014,VHM,886
2014,VIC,695
2015,ABS,783
2015,CEO,996
2015,DXG,981
2015,HDC,596
2015,IDI,963
2015,IDV,904
2015,ITA,742
2015,KBC,496
2015,KDH,340
2015,LHG,243
2015,NDN,733
2015,NLG,788
2015,NVL,399
2015,PDR,553
2015,REE,790
2015,SDI,600
2015,SGR,229
2015,SZL,613
2015,VHM,526
2015,VIC,628
2016,ABS,353
2016,CEO,218
2016,DXG,960
2016,HDC,297
2016,IDI,379
2016,IDV,806
2016,ITA,700
2016,KBC,566
2016,KDH,220
2016,LHG,257
2016,NDN,810
2016,NLG,858
2016,NVL,434
2016,PDR,843
2016,REE,478
2016,SDI,834
2016,SGR,680
2016,SZL,982
2016,VHM,870
2016,VIC,607
2017,ABS,663
2017,CEO,513
2017,DXG,362
2017,HDC,653
2017,IDI,954
2017,IDV,227
2017,ITA,404
2017,KBC,983
2017,KDH,311
2017,LHG,515
2017,NDN,386
2017,NLG,360
2017,NVL,973
2017,PDR,564
2017,REE,999
2017,SDI,838
2017,SGR,567
2017,SZL,334
2017,VHM,790
2017,VIC,635
2018,ABS,863
2018,CEO,706
2018,DXG,459
2018,HDC,539
2018,IDI,892
2018,IDV,760
2018,ITA,937
2018,KBC,823
2018,KDH,319
2018,LHG,291
2018,NDN,660
2018,NLG,525
2018,NVL,654
2018,PDR,237
2018,REE,556
2018,SDI,551
2018,SGR,557
2018,SZL,885
2018,VHM,228
2018,VIC,375
2019,ABS,935
2019,CEO,793
2019,DXG,530
2019,HDC,557
2019,IDI,849
2019,IDV,551
2019,ITA,855
2019,KBC,262
2019,KDH,485
2019,LHG,743
2019,NDN,281
2019,NLG,768
2019,NVL,680
2019,PDR,844
2019,REE,942
2019,SDI,784
2019,SGR,497
2019,SZL,305
2019,VHM,202
2019,VIC,755
2020,ABS,463
2020,CEO,849
2020,DXG,635
2020,HDC,359
2020,IDI,846
2020,IDV,647
2020,ITA,940
2020,KBC,859
2020,KDH,803
2020,LHG,744
2020,NDN,813
2020,NLG,743
2020,NVL,491
2020,PDR,232
2020,REE,303
2020,SDI,744
2020,SGR,531
2020,SZL,361
2020,VHM,359
2020,VIC,245
