years,ABS,CEO,DXG,HDC,IDI,IDV,ITA,KBC,KDH,LHG,NDN,NLG,NVL,PDR,REE,SDI,SGR,SZL,VHM,VIC
2010,575,627,507,488,349,792,773,681,719,670,340,596,274,377,424,655,698,694,804,661
2011,553,794,380,622,465,393,597,676,351,275,568,957,764,780,841,408,451,659,887,904
2012,936,877,344,325,533,585,849,747,850,566,909,240,413,584,621,466,418,748,686,323
2013,977,721,434,529,480,526,519,899,350,244,648,890,727,807,438,650,518,976,616,467
2014,563,702,474,200,852,836,364,460,365,615,686,656,235,202,300,220,513,874,886,695
2015,783,996,981,596,963,904,742,496,340,243,733,788,399,553,790,600,229,613,526,628
2016,353,218,960,297,379,806,700,566,220,257,810,858,434,843,478,834,680,982,870,607
2017,663,513,362,653,954,227,404,983,311,515,386,360,973,564,999,838,567,334,790,635
2018,863,706,459,539,892,760,937,823,319,291,660,525,654,237,556,551,557,885,228,375
2019,935,793,530,557,849,551,855,262,485,743,281,768,680,844,942,784,497,305,202,755
2020,463,849,635,359,846,647,940,859,803,744,813,743,491,232,303,744,531,361,359,245
